"FORMULARIO","CODIGO_ACCIDENTE","FECHA_OCURRENCIA_ACC","HORA_OCURRENCIA_ACC","ANO_OCURRENCIA_ACC","MES_OCURRENCIA_ACC","DIA_OCURRENCIA_ACC","DIRECCION","GRAVEDAD","CLASE_ACC","LOCALIDAD","MUNICIPIO","FECHA_HORA_ACC","LATITUD","LONGITUD"
"A001130067","10507353","2019/12/30","20:00:00","2019","DICIEMBRE","LUNES","CL 24A-KR 69","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2019/12/30 20:00:00+00","4.65695925","-74.11136593"
"A000279023","4432169","2015/12/15","7:00:00","2015","DICIEMBRE","MARTES","CL 8-KR 21","SOLO DANOS","CHOQUE","LOS MARTIRES","BOGOTA DC","2015/12/15 06:59:59+00","4.60396528","-74.09007403"
"A000868180","10464071","2018/10/18","16:40:00","2018","OCTUBRE","JUEVES","CL 63-KR 10","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2018/10/18 16:40:00+00","4.69632533","-74.12638638"
"A000821319","10453468","2018/07/07","4:50:00","2018","JULIO","SABADO","CL 56-KR 14 ","CON HERIDOS","ATROPELLO","USME","BOGOTA DC","2018/07/07 04:50:00+00","4.5533017","-74.12136212"
"A001054230","10497492","2019/09/20","21:25:00","2019","SEPTIEMBRE","VIERNES","KR 8-CL 2","CON HERIDOS","ATROPELLO","PUENTE ARANDA","BOGOTA DC","2019/09/20 21:24:59+00","4.59095359","-74.08075042"
"A000972441","10485544","2019/05/22","11:30:00","2019","MAYO","MIERCOLES","KR 78B-CL 36 ","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2019/05/22 11:29:59+00","4.62267158","-74.15025617"
"A001027393","10487660","2019/06/12","19:10:00","2019","JUNIO","MIERCOLES","CL 13-KR 68","CON HERIDOS","ATROPELLO","FONTIBON","BOGOTA DC","2019/06/12 19:09:59+00","4.63832484","-74.11940371"
"A001510540","10578148","2022/08/09","9:00:00","2022","AGOSTO","MARTES","CL 66 A -KR 104 ","CON HERIDOS","CHOQUE","ENGATIVA","BOGOTA DC","2022/08/09 09:00:00+00","4.698","-74.124"
"A5506","4413959","2015/05/26","5:37:00","2015","MAYO","MARTES","KR 7-CL 186","CON HERIDOS","ATROPELLO","USAQUEN","BOGOTA DC","2015/05/26 05:36:59+00","4.76287361","-74.0272924"
"A000966960","10479839","2019/03/23","12:20:00","2019","MARZO","SABADO","CL 75-KR 5","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2019/03/23 12:20:00+00","4.6707748","-74.07261362"
"A001520164","10586992","2023/02/01","16:10:00","2023","FEBRERO","MIERCOLES","TV 17-CL 65 S","CON HERIDOS","CHOQUE","CIUDAD BOLIVAR","BOGOTA DC","2023/02/01 16:10:00+00","4.55365909","-74.13696057"
"A001133519","10511071","2020/02/13","13:45:00","2020","FEBRERO","JUEVES","KR 30-CL ","SOLO DANOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2020/02/13 13:44:59+00","4.6021534","-74.10194252"
"A000276651","4429136","2015/11/11","6:20:00","2015","NOVIEMBRE","MIERCOLES","AK 68-CL 9A","SOLO DANOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2015/11/11 06:20:00+00","4.63198313","-74.12094918"
"A001303907","10540672","2021/05/26","14:28:00","2021","MAYO","MIERCOLES","KR 96 C -CL 20 A ","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2021/05/26 14:28:00+00","4.67034055","-74.13880287"
